timestamp,open,high,low,close,volume
2026-03-05 07:00:00+08:00,91.28,91.38,90.23,90.8,399489.13
2026-03-05 08:00:00+08:00,90.79,91.33,90.67,90.72,240857.72
2026-03-05 09:00:00+08:00,90.72,91.36,89.67,89.92,664562.31
2026-03-05 10:00:00+08:00,89.92,90.62,89.89,90.15,428374.09
2026-03-05 11:00:00+08:00,90.14,90.48,89.55,89.97,344725.13
2026-03-05 12:00:00+08:00,89.97,90.69,89.84,90.34,307380.64
2026-03-05 13:00:00+08:00,90.34,90.58,89.97,90.13,207119.54
2026-03-05 14:00:00+08:00,90.13,90.96,89.62,90.83,347947.99
2026-03-05 15:00:00+08:00,90.83,91.24,89.64,90.11,480245.92
2026-03-05 16:00:00+08:00,90.11,90.67,89.62,90.58,362407.26
2026-03-05 17:00:00+08:00,90.59,91.89,90.55,91.15,640093.01
2026-03-05 18:00:00+08:00,91.15,92.9,90.95,92.59,716728.4
2026-03-05 19:00:00+08:00,92.58,92.72,91.58,91.75,414172.04
2026-03-05 20:00:00+08:00,91.75,92.15,91.23,91.93,423753.6
2026-03-05 21:00:00+08:00,91.92,92.01,90.36,90.75,626895.09
2026-03-05 22:00:00+08:00,90.75,91.44,89.77,90.95,761488.13
2026-03-05 23:00:00+08:00,90.96,91.1,88.76,89.57,1096204.39
2026-03-06 00:00:00+08:00,89.57,89.59,87.86,88.9,927511.73
2026-03-06 01:00:00+08:00,88.91,89.37,87.88,88.08,537911.42
2026-03-06 02:00:00+08:00,88.07,88.86,87.96,88.77,311543.2
2026-03-06 03:00:00+08:00,88.77,89.36,88.63,88.69,269172.42
2026-03-06 04:00:00+08:00,88.7,89.54,88.5,89.16,367067.44
2026-03-06 05:00:00+08:00,89.15,89.8,88.83,89.08,266393.73
2026-03-06 06:00:00+08:00,89.07,89.37,88.81,89.05,146734.32
2026-03-06 07:00:00+08:00,89.04,89.15,88.57,88.73,155242.78
2026-03-06 08:00:00+08:00,88.74,89.0,88.52,88.81,117845.68
2026-03-06 09:00:00+08:00,88.8,89.22,87.95,89.07,333253.89
2026-03-06 10:00:00+08:00,89.07,89.26,88.13,88.31,625122.2
2026-03-06 11:00:00+08:00,88.31,88.64,88.07,88.35,199232.55
2026-03-06 12:00:00+08:00,88.35,88.53,87.61,88.1,277966.01
2026-03-06 13:00:00+08:00,88.1,88.2,87.44,87.84,400648.7
2026-03-06 14:00:00+08:00,87.84,88.4,87.62,88.02,234267.02
2026-03-06 15:00:00+08:00,88.03,88.86,87.73,88.64,320753.61
2026-03-06 16:00:00+08:00,88.63,88.63,88.12,88.3,191417.58
2026-03-06 17:00:00+08:00,88.3,88.43,87.11,87.43,416285.95
2026-03-06 18:00:00+08:00,87.43,87.89,87.34,87.64,229631.33
2026-03-06 19:00:00+08:00,87.65,87.94,87.05,87.2,264692.15
2026-03-06 20:00:00+08:00,87.2,87.22,85.85,86.43,906846.45
2026-03-06 21:00:00+08:00,86.43,87.06,85.5,85.53,938191.5
2026-03-06 22:00:00+08:00,85.53,85.7,83.88,84.29,1413081.52
2026-03-06 23:00:00+08:00,84.28,85.28,84.13,84.57,710307.93
2026-03-07 00:00:00+08:00,84.57,84.97,84.03,84.3,419950.97
2026-03-07 01:00:00+08:00,84.3,84.64,83.56,84.15,494655.46
2026-03-07 02:00:00+08:00,84.15,85.53,84.12,85.21,397097.26
2026-03-07 03:00:00+08:00,85.21,85.83,85.08,85.14,250795.93
2026-03-07 04:00:00+08:00,85.14,85.4,84.51,84.96,262718.04
2026-03-07 05:00:00+08:00,84.96,85.06,84.38,84.68,164853.06
2026-03-07 06:00:00+08:00,84.69,85.01,84.48,84.91,127654.72
